Target,Stance,Text,Context
 evde eğitim,0,"En azından Körfez Kıyısı'nda, hükümetin kıyı sakinlerine topraklarının kullanımı için tazminat ödediğini iddia ediyorum. Bir kasırga plaj evlerini yıktığında yardım şeklinde tazmin ediliyorlar. Bana göre, insanların evinizin arkasındaki plajda yürümelerine izin vermek için ödenecek küçük bir bedel. (Ancak, sahil sahipleri bu plajların kullanımıyla ilgili katı kurallar koymaya zorlarsa bunu anlarım: sokağa çıkma yasakları, açık konteyner kuralları ve bu tür şeyler). . Ben, ailem için bir hafta sonu evi satın aldığımda tüm bu sorundan kaçınacağım. Okyanus yerine bir göl kenarında ev satın alacağız. Endişelenecek plaj yok ve kasırga yok...","Açıklama: Yazar, Körfez Kıyısında bir sahil evi satın alma fikrine karşı çıkıyor. Kasırgaların neden olduğu hasarları ödemek ve sahil kullanımıyla ilgili katı kurallara uymak gibi, bir sahile yakın yaşamanın olası maliyetlerinden ve sorunlarından bahsediyorlar. Yazar ayrıca, okyanus yerine bir göle yakın bir ev satın alarak bu sorunlardan kaçınacaklarını belirtiyor. Hedef, ""sahil evi eğitimi"" veya insanları bir sahil evi satın almanın maliyetleri ve sorunları hakkında eğitme fikridir. Yazar, olası sorunlar ve maliyetler nedeniyle bir sahil evi satın almaya karşı olduğunu ifade ettiği için bu fikre karşı bir duruş sergiliyor."
 esrar,1," Yetişkin hayatım boyunca Martijuana içtim ve başka bir uyuşturucuyu deneme isteğim hiç olmadı. Ara sıra içki içerim ama sigara içmem. Tanıdığım hiçbir insan, hiçbiri, joint içen, daha sert uyuşturucular kullanmaya meyilli değil. Hiç otlu brownie denemedim ama belki de akciğerlerim için iyi olmayan sigara içmekten daha çok hoşuma gider. Bana göre sert uyuşturucu kullanan insanlar, mary jane içerek değil, uyuşturucu kullanımına yatkındırlar. Yasaları etkileyen pozisyonlardaki insanlar tarafından yazılan bu tür yorumların yanıltıcı olduğunu ve buna karşılık yarardan çok zarar verdiğini düşünüyorum.","Geçiş: Yetişkin hayatım boyunca Martijuana içtim ve başka bir eklemeyu deneme isteğim hiç olmuyor. Ara sıra içki içerim ama sigara içmem. Tanıdığım hiçbir insan, hiçbiri, ortak içen, daha sert harcamalar yapmaya yönelmiyor. Hiç otlu brownie denemedim ama belki de akciğerlerim için iyi olmayan sigara içmekten daha çok hoşuma gitti. Bana göre sertleşen kullanan insanlar, mary jane içerek değil, kullanmaya yatkındırlar. Yasaların özelliklerindeki insanlar tarafından yazılan bu tür yorumların yanıltıcı olduğunu ve buna karşılık yarardan çok zarar görmeyi düşünüyorum. Hedef: esrar Duruş: karşı Gerekçe: Yazar, yetişkin yaşamları boyunca esrar içtiklerini ve başka uyuşturucuları denemekle hiçbir zaman ilgilenmediklerini belirtmektedir. Ara sıra alkol aldıklarını ancak sigara içmediklerini belirtiyorlar. Yazar, esrar içen tanıdıklarının daha sert uyuşturucular kullanmaya meyilli olmadığını savunuyor. Esrarlı brownieyi hiç denemediklerini ancak akciğerlerine iyi gelmediğine inandıkları sigara içmekten daha çok keyif alabileceklerini belirtiyorlar. Yazar, sert uyuşturucu kullanan insanların bunu yapma eğiliminde olmasının nedeninin esrar içmeleri değil, uyuşturucu kullanımına yatkın olmaları olduğunu düşünüyor. Ayrıca, yasaları etkileme pozisyonunda olan kişiler tarafından yazılan bu tür yorumların yanıltıcı olduğunu ve verilen zararın, elde edilecek faydadan fazla olması. Bu tutumun hedefi esrardır ve yazar esrarın kullanımına karşıdır.:// :// :// :// :// :// :// :// :// :// : // :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :/ / :// :// :// :// :// :// :// :// :// :// :// :// :// :// : // :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// ://"
 içici,-1," Dr. Pinker'ın geçmişte kalmış bir şey olarak bahsettiği tüm gerici düşünce aslında şu anda en önde gelen Cumhuriyetçi politikacılarımızın ve seçmenlerinin benimsediği muhafazakar görüşlerin çoğunu yansıtıyor. Görünüşe göre yüksek öğrenim bile şu anda saldırı altında, bu yüzden Dr. Pinker'ın iyimser görüşlerini paylaşmak istesem de, daha fazla katılamazdım.","Açıklama: Yazar, Dr. Pinker'ın ABD'deki muhafazakar görüşlerin mevcut durumu hakkındaki iyimser görüşlerine karşı çıkıyor gibi görünüyor. Yazar, Dr. Pinker'ın görüşlerinin güncelliğini yitirdiğini ve önde gelen Cumhuriyetçi politikacıların ve destekçilerinin muhafazakar görüşlerinin gerici düşüncelerle daha uyumlu olduğunu öne sürüyor. Yazar ayrıca yüksek öğrenimin saldırı altında olduğunu belirtiyor ve bu da Dr. Pinker'ın görüşlerine karşı duruşlarını daha da destekliyor. Genel olarak, yazarın duruşu açıkça Dr. Pinker'ın pozisyonuna karşı."
 özelleştirme,-1," Benim eyalette, büyük bir Hava Kuvvetleri üssünün kapılarındaki muhafızlar özelleştirildi! Üste binlerce asker olmasına rağmen bir güvenlik şirketi devraldı. En azından güvenlik muhafızı şirketinin sahibi olan adam bir gün muhafızlara ödeme yapmadan kaçana kadar. Ve bu sadece bir vaka. Diz çöküp tepki gösteren özelleştiricilerin devraldığı hemen hemen her durumda, işçiler maaş ve yan haklarını kaybeder, birkaç iş sahibi vergi paramızı tırmıklar ve hizmetler derin, karanlık bir çukurun dibine batar. Afganistan ve Irak'ta, Halliburton ve diğerleri her yıl milyarlarca dolar kazanır, aslan payını alır ve sonra işi alt-alt-alt yüklenicilere devreder, onlar da doların birkaç kuruşunu alır ve ucuz, etkisiz bir iş yaparlar - eğer yapılırsa. Ve iktidardaki hiç kimse şikayet etmez. Bu çılgınlığa ne zaman son vereceğiz?"," Açıklama: Yazar, hizmetlerin, özellikle askeri üslerin özelleştirilmesine karşı bir hayal kırıklığı ve öfke duygusu ima ediyor. İş kaybı, ücret kaybı ve hizmet kalitesi kaybı gibi özelleştirmenin olumsuz sonuçlarını vurgulamak için tekrar ve abartı gibi retorik araçlar kullanıyorlar. Yazarın tavrı özelleştirmeye açıkça karşıdır, çünkü toplumun bu ""çılgınlığa"" ne zaman son vereceğini sorgulamaktadır."
 vergi indirimi,0,"""Çevresel güvenlik önlemlerini uygulama yeteneğimizden şüphe duysaydım bu fikri desteklemezdim."" ""Çevresel güvenlik önlemlerini"" uygulamak ve felaketleri önlemek aynı şey değildir. Petrol üretimi, rafinasyonu ve taşımacılığındaki standart, iyi niyetli mühendislik uygulamaları, çift ve üçlü yedekli arıza emniyet sistemleri gibi güvenlik önlemlerini içerir. Yine de, mühendislik sistemleri başarısız olur ve çok yakın zamanda kuyu başı patlamaları (Deep Water Horizon), rafineri patlamaları ve yangınları ve boru hattı patlamalarından tank treni raydan çıkmalarına ve Exxon Valdez'e kadar uzanan petrol taşımacılığı felaketleri yaşadık. Virginia Beach açıklarında bir kuyu başı patlamasının Sandy Kasırgası ile aynı zamana denk geldiği mükemmel bir fırtına durumunu hayal edin. Chesapeake'ten İzlanda'ya ham petrol ve yol boyunca zaten kırılgan olan kıyı topluluklarına ve balıkçılığa potansiyel olarak ölümcül bir darbe. Doğu Sahili'nin petrol üretiminden kaynaklanan felaket boyutunda bir hasara uğramayacağından %100 emin olmanın tek yolu, tuzlu okyanus sularımızdaki aşırı riskli hidrokarbon sömürüsünü yasaklamaktır.","Açıklama: Yazar, petrol üretimi bağlamında çevresel güvenlik önlemlerinin azaltılması fikrine karşı çıkıyor. Mevcut güvenlik önlemlerinin standart mühendislik uygulamaları, yedekleme sistemleri ve yedeklilik içerdiğini belirtiyorlar. Ancak yazar, petrol kulesi patlamaları, rafineri yangınları ve petrol taşımacılığı felaketleri örnekleri vererek bu önlemlerin yine de başarısız olabileceğini savunuyor. Doğu Yakası'nın petrol üretimiyle ilgili felaketlerle aynı büyüklükte bir felakete uğramayacağından %100 emin olmanın tek yolunun, tuzlu okyanus sularımızdaki hidrokarbonların aşırı ve riskli sömürüsünü yasaklamak olduğunu öne sürüyorlar. Yazarın çevresel güvenlik önlemlerinin azaltılmasına karşı duruşu, petrol üretiminde güvenlik önlemlerinin azalmasına yol açabilecek vergi kesintilerine karşı oldukları anlamına geliyor."
 başörtüsü,-1,"Dayanışmadan, başörtüsünün ima ettiği feminizmden veya başka bir şeyden bahseden Müslüman kadınlar elbette saçmalamakta özgürdür. Ancak burada, Batı toplumunda başörtüsü takmak benim gibi insanlara şu mesajı gönderiyor: ""Batı kültürünün özgürlüklerinin anlamına değer vermiyorum veya değer vermek istemiyorum. Paylaştığımız bu kamusal alanda başörtümü takarak, her şeyden önce bir Müslüman olduğumu ve sizden farklı olduğumu ilan ediyorum."" Düşünce: Ya hepimiz dini bağlılıklarımızı ilan etmek için komik şapkalar taksak? Bu, paylaşılan bir kamusal alan fikrinin sonu olmaz mıydı? PS Mary Wollstonecraft mezarında ters dönmüş olmalı.","Açıklama: Yazar, kamusal alanda başörtüsü takma eylemini eleştiriyor ve bunun Müslüman kimliğini ve diğerlerinden farkını duyurmanın bir yolu olduğunu savunuyor. Yazar, ortak kamusal alan fikrini sorguluyor ve dini bağlılıklarımızı duyurmak için komik şapkalar takmanın saçma olacağını öne sürüyor. Yazar, kamusal alanda başörtüsü takma fikrine karşı görünüyor ve bunun insanları ayırdığını ve ortak kamusal alan kavramına aykırı olduğunu ima ediyor. Yazar, kadın hakları için mücadele eden bir filozof olan Mary Wollstonecraft'a atıfta bulunarak, kamusal alanda başörtüsü takma eylemine karşı olacağını ima ediyor."
 havayolu endüstrisi,-1," Dün Seattle'dan Dulles/DC'ye yaptığım uçuşta bacak mesafesi yükseltmesi 39 dolar değil 119 dolar olacaktı. Yaşadığım yerde Southwest uçmuyor, bu yüzden böyle bir şey olmayacak. Uçmak çok tatsız bir hale geldiği için mümkün olduğunca az uçuyorum. Tek olumlu nokta, Atlantik ötesi uçuşlardaki yabancı taşıyıcılar - geçen yaz Emirates ile Milano'ya yaptığım bir yolculuk, bacak mesafesi, yenilebilir yiyecekler ve ücretsiz izleyebileceğiniz 500 film seçeneğiyle keyifliydi. Bacak mesafesi gibi şeylerin düzenlenmesi ve ücretlerin tam olarak açıklanması bana iyi bir fikir gibi geliyor.","Geçiş: Dün Seattle'dan Dulles/DC'ye uçuşta aralıktaki artış 39 dolar değil 119 dolar olacak. Yaşadığım yerde Güneybatı uçmuyor, bu yüzden böyle bir şey olmayacak. Uçmak çok tatsız bir hale geldiği için mümkün olduğunca az uçuyorum. Tek olumlu nokta, Atlantik ötesi uçuşlardaki yabancı yolcular - geçen yaz Emirates ile Milano'ya gidiş-dönüş bir yolculuk, uzak mesafe, yenilebilir lezzet ve ücretsiz izlenebilir 500 film seçeneğiyle keyifliydi. Bacak dağılımı gibi değişmelerin düzenlenmesi ve tam olarak açıklanması bana iyi bir fikir gibi geliyor. Hedef: çeşitlilik çeşitliliği Duruş: Kritik Açıklama: Yazar, yaygın bölgelerdeki aralıkların genişlemesinin yüksek ve belirsiz olduğunu belirtiyor. Uçuşları mümkün olduğunca az yapmak istiyor ve yabancı taşıyıcıları tercih ediyor. Bu nedenle, çeşitliliğin endüstriye yönelik bir düzenleme döngüsünde mevcut ve bacak genişliği ücretlerini daha açık hale getirmelerini istiyor.://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html .nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees .html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees .html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees .html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees .html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html ://www.nytimes.com/2022/05/16/opinion/sunday/airlines-legroom-fees.html"
 kilolu,0,"'Doğru kiloma' ulaşma çabam günlük kardiyo ve ağırlık kaldırma rutini, bisiklet (yolculuk başına 18-20 mil), yürüyüş (6-10 mil) ve spor salonunda olmadığım zamanlarda benzerlerini, doktorumla görüşmeleri, bir beslenme uzmanını (zaten mükemmel olan diyetimi teyit eden) ve bir endokrinologu da içeriyor. Ve ben burada öylece oturuyorum, 35 BMI'da. Vücudum 'doğru' BMI'ma ulaşma çabalarımla alay ederken, kendimi uykuya ağlayarak, bitkin ve ağrılı bir şekilde bıraktığım geceler oldu. Ve muhtemelen asla oraya ulaşamayacak olsam da, formumdan güç alıyorum. Evet, FORMDA OLMA. Kan şekerim mükemmel, kolesterolüm iyi, tansiyonum düşük ve dinlenme kalp atış hızım doktorumu kıskandırıyor. Tüm obez insanlar böyle mi? Elbette hayır. Ancak şimdi tartışıldığı gibi, 'zayıf olmayı başaramadığım' için yüksek tıbbi riskli olarak etiketlenir ve ayrımcılığa uğramaya müsait olurdum. Ey herkesin şişman olduğunu düşünen ve bunun kendileri için böyle olmasını istediklerini düşünen bilge kişiler, bana bunların bana nasıl uygulanabileceğini söyleyin.","Pasaj: 'Doğru kiloma' ulaşma çabam günlük kardiyo ve ağırlık artırma rutini, bisiklet (yolculuk başına 18-20 mil), yürüyüş (6-10 mil) ve spor salonunda olmadığım zamanlarda benzerlerini, doktorlarıyla görüşmeleri, bir beslenme uzmanını (zaten mükemmel olan diyetimi) teyit eden) ve bir endokrinolog da içeriyor. Ve ben burada öylece oturuyorum, 35 BMI'da. Vücudum 'doğru' BMI'ma ulaşma çabalarımla alay ederek, haklarını koruyarak, bitkin ve ağrılı bir şekilde saklandığım geceler oldu. Ve muhtemelen asla oraya ulaşamayacak olsam da, formülden güç geliyor. Evet, FORMDA OLMA. Kan şekerim mükemmel, tutuşum iyi, tansiyonum düşük ve dinlenme kalp atış hızım doktorumu kıskandırıyor. Tüm obez insanlar böyle mi? Elbette hayır. Ancak şimdi tartışıldığı gibi, 'zayıflamayı başaramadığım' için yüksek tedavi uygulanmak üzere etiketlenir ve ayrımcılığa uğramaya devam edilebilirdim. Herkesin şişman olduğunu düşünüyor ve bunun kendileri için böyle olmasını istediklerini düşünen kişiler, bana bunların bana nasıl uygulanabileceğini seçebilirsiniz. Hedef: kilolu Duruş: Kilonun sadece bir ölçü taşıdığı ve sağlık puanı için daha fazla ağırlığın dikkate alınmaması gerektiğini savunuyor. Gerekçe: Yazar, kilo hedefine ulaşma çabalarına rağmen hala 'doğru' kiloda olmamasına ve bununla ilgili olarak kendisinin ve sağlık değerlendirmelerinin yetersiz olduğu düşüncelerinde. Yazar, kan şekerinin, sıvıların, tansiyonun ve dinlenme kalp atış hızının iyi olduğunu belirtiyor ve bu nedenle obez olarak etiketlenmesi bozuluyor. Ayrıca, zayıf olmama nedeniyle yüksek tedavi artışı olarak etiketleme ve ayrımcılığa uğraması bozulma. Yazar, kilo ve sağlık değerlendirmelerinin daha geniş bir perspektiften ele alınması gerektiğini savunuyor.://www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html ://www.nytimes.com/2020/ 03/25/opinion/obezite-kilo kaybı.html ://www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html ://www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html :/ /www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html ://www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html ://www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html ://www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html :/ /www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html ://www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html ://www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html :/ /www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html ://www.nytimes.com/2020/03/25/opinion/obesity-weight-loss.html ://www.nytimes.com/2020/03"
 tıbbi web sitesi,0,"Bunlar, çocukları okula gitmek istediğinde yasadışı göç hakkında çığlık atarak zıplayan aynı çiftçiler değil mi? Federal hükümetten büyük sübvansiyonlar kabul edenler? Tahminimce gerçekten sinirlenenler, aynı anda yüzlerce yasadışı işçi kullanan büyük tarım işletmeleri. Birçok küçük çiftçi, yüksek kaliteli yerel olarak yetiştirilen ürünlerle başarılı oluyor. Yetiştirmenin gerçek bir zorluk olduğu merkezi Massachusetts'te, küçük çiftlikler çok iyi iş çıkarıyor. Çok büyük maliyetlerle taşınması ve depolanması gerekmeyen yerel olarak yetiştirilen ürünler, doğası gereği daha ucuz ve daha iyi. Geçmişte, ABD'de geçici olarak çalışma izinleri de dahil olmak üzere soruna birçok çözüm önerildi. Hepsi reddedildi. Bence bazı insanlar sadece ucuz iş gücünden ve hesap verebilirlikten hoşlanmıyor. Ancak endişelenmeyin, göçmenler artık ABD'ye akmıyor ve milyonlarca işsiz Amerikalı var, bu yüzden ekonomiyi mahvetmeye devam edersek, bu durum çiftçilerin lehine işleyecek.","Passage: Bunlar, çocukların okula gitmeleri istenende yasadışı göç hakkında çığlık atarak patlayan aynı çiftçiler değil mi? Federal hükümetten büyük sübvansiyonlar kabul edenler mi? Tahminimce gerçekten sinirlenenler, aynı anda kırsal işçi sahibi büyük tarım işletmeleri. Birçok küçük çiftçi, yüksek kaliteli, yerel olarak yetiştirilen ürünlerle başarılı oluyor. Yetiştirmenin gerçek bir zorluk olduğu merkezi Massachusetts'te, küçük çiftlikler çok iyi iş üretiyor. Çok büyük artışlarla ortaya çıkan ve oluşması gerekmeyen yerel olarak yetiştirilen ürünler, özellikleri daha iyi ve daha ucuz. Geçmişte, ABD'de geçici olarak çalışmaya izinleri de dahil olmak üzere soruna birçok çözüm önerildi. Hepsi reddedildi. Bence bazı insanlar sadece ucuz iş gücünden ve hesap vermekten hoşlanmıyor. Ancak endişelenmiyorlar, göçmenler artık ABD'ye akmıyor ve her yerde işsiz Amerikalı var, bu yüzden ekonomiyi mahvetmeye devam edecekler, bu durum çiftçilerin işini yapacak. Hedef: tedavi web sitesi Duruş: Karşı Gerekçe: Yazar, hükümetin ABD'de belgesiz işçilerin çalışmasına izin vermemesi gerektiğini, bunun Amerikalı işçilere haksızlık olduğunu ve ekonomiye zarar verdiğini savunuyor. Geçmişte soruna birçok çözüm önerildiğini ancak reddedildiğini ve bazı insanların ucuz işgücünden sorumlu tutulmaktan hoşlanmadığına inandıklarını belirtiyorlar. Yazar, belgesiz göçmenlerin artık ABD'ye gelmemesi nedeniyle şu sonuca varıyor: ve milyonlarca işsiz Amerikalı var, ekonomiyi mahvetmeye devam etmek çiftçilerin lehine işleyecek. Hedef bir tıp sitesi çünkü yazar, çiftçiler ve genel ekonomi dahil olmak üzere, belgesiz çalışanların ABD üzerindeki ekonomik etkisini tartışıyor. Bu tutum, belgesiz işçilerin ABD'de çalışmasına karşıdır, çünkü bu durum Amerikan işçilerine karşı adil değildir ve ekonomiye zarar verir.:// :// :// :// :// :// :// : // :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :/ / :// :// :// :// :// :// :// :// :// :// :// :// :// :// : // :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// :// ://"
 çocuk,-1,"20'li yaşlarının sonlarında iki çocuğun 61 yaşındaki ebeveyni olarak, çocuklarını en üst düzeyde takip edebileceklerini ve ilişkilerini mahvetmeyeceklerini düşünen buradaki tüm helikopter ebeveynlerin akıllarını kaçırdıklarını düşünüyorum. Özellikle ""Altınım var, kuralları ben koyarım"" ifadesi efendi ve hizmetçi ilişkisidir. Çocuklarınızın okuldan ayrılıp sizi sırtlarından atmak için garsonluk veya barmenlik yapmasını istiyorsanız ""kendi faturalarını ödeyene kadar sana sahibim"" demeye devam edin. Ailede bir avukat, bir doktor, bir MBA veya bir doktora istiyorsanız, destek sağlamaya devam ederken özerkliklerine saygı duymayı öğrenmelisiniz. Özerkliğe saygı erken başlar ve çocuk büyüdükçe artar. 13 ile 18 yaş arasındaki yıllar kritiktir. Çocuk kendini kontrol etmeyi öğrenmeli ve siz de bırakmayı ve çocuğunuzun özerkliğine saygı duymayı öğrenmelisiniz. Aksi takdirde 18 yaşına geldiklerinde bir patlama olur.","Passage: 20'li yaşlarının sonlarında iki çocuk 61 yaşında ebeveyni olarak, çocuklarını en üst düzeyde takip edebileceklerini ve popüler mahvetmeyeceklerini düşündükleri yerde tüm helikopterlerin akıllarını kaçırdıklarını düşünüyorum. Özellikle ""Altınım var, kuralları ben koyarım"" ifadesi efendi ve hizmetçi ilişkisidir. Çocuklarınızın okuldan ayrılıp sizi sırtlarından atmak için garsonluk veya barmenlik yapmak istiyorsanız ""kendi faturalarını ödeyene kadar sana sahibim"" demeye devam edin. Ailede bir avukat, bir doktor, bir MBA veya bir doktora istiyorsanız, destek alıp devam ederken özerkliklerine saygı duymayı öğrenmeniz gerekir. Özerkliğe saygı erken başlar ve çocuk büyüyerek artar. 13 ile 18 yaş arasındaki yıllar kritiktir. Çocuğun kendini kontrol etmeyi öğrenmeli ve sizi de bırakmayı ve bölgesel özerkliğe saygı duymayı öğrenmeniz gerekir. Aksi takdirde 18 yaş geldikçe bir patlama olur. Target: çocuk Stance: Özerkliğe saygı ve çocukların kendi kararlarını vermelerine dahil olan değerler.://--> 0 ://--> 0 ://--> 0 ://--> 0 ://-- > 0 ://--> 0 ://--> 0 ://--> 0 ://--> 0 ://--> 0 ://--> 0 ://--> 0 ://--> 0 ://--> 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
 ulusal güvenlik,1,"Burada yeni bir zemini ele aldığımızı düşünmüyorum, Cumhuriyetçilerin bütçeyi dengeleme planı büyük ihtimalle çok fazla bayrak sallamaktan, kendilerini Anayasa'ya ve belki de yeni bir Taahhüt'e ve başka pek bir şeye sarmaktan ibaret olacak. Daha da kötüsü olabilir, vergileri daha da düşürmek veya başka bir savaş başlatmak gibi gerçekten aptalca bir şey yapmak isteyebilirler. Öncelikle oyları yok ve 8 yıllık Bush döneminde sorunlar daha da kötüleşti."," Açıklama: Yazar, Cumhuriyetçilerin bütçeyi bağlantı planını eleştirmekte ve bu planın Anayasa'ya ve yeni bir Taahhüt'e saygı göstermeyebileceğini belirtmektedir. Ayrıca vergileri düşürme veya başka bir savaş başlatma gibi aptalca kararlar alabileceklerini ifade etmektedir. Bu nedenle, yazarın ulusal güvenlik konusunda Cumhuriyetçilere karşı olduğu anlaşılmaktadır."
 Bahşiş hizmeti personeli,1," Japonya ve Avrupa'da ve Yeni Zelanda'da (burada geçinmek için bir ücret alıyorlar ve bahşiş vermek zorunda değiliz) bulundum ve BAYILIYORUM! Bahşiş vermekten çok yoruldum. Garsonlara geçinmek için bir ücret verin ki yabancıların nezaketine güvenmek zorunda kalmasınlar. Evet, gerçek bir ücrete uyum sağlamak için fiyatları artırın - bu insanlar bunu hak ediyor, tıpkı işi olan herkes gibi. Ve bahşişleri ortadan kaldırın!","Açıklama: Yazar, bahşiş kültürüne olan hayal kırıklığını dile getiriyor ve işletmelerin bahşişlere güvenmek yerine çalışanlarına geçinebilecekleri bir ücret ödemeleri gerektiğini öne sürüyor. Bunun hem çalışanlar hem de müşteriler için adil olacağını, çünkü müşterilerin sürekli olarak bahşiş hesaplama ve verme ihtiyacını ortadan kaldıracağını ve çalışanların istikrarlı bir gelire sahip olacağını savunuyor. Yazar, farklı ülkelerdeki kişisel deneyimlerini ve bahşiş sisteminde bir değişiklik yapma isteklerini vurguluyor. Mevcut bahşiş sistemine karşı ve çalışanlara adil bir ücret ödenmesinden yana bir duruş sergiliyor."
 uzun basketbol oyuncusu,-1,'Smaç'ın NBA oyununun çekiciliğini azalttığına dair çok az şüphe var. Çok sık olarak yedi fitlik bir adamın sadece küçük bir kekeme adım attığını ve topu delikten aşağı attığını (atmadığını) görüyoruz. -- NBA oyununun hayranı olarak büyüdüm ama en son ne zaman bir tane izlediğimi hatırlamıyorum. Smaçı ortadan kaldırın ve potayı yükseltin.,"Açıklama: Yazar, basketbolda şut saatinin varlığı hakkında olumsuz bir görüş belirterek, oyunun çekiciliğini azalttığını belirtiyor. Şut saatinin tekrarlayıcı doğasından ve artık basketbol izlemekten zevk almadıklarından bahsediyor. Yazar, oyunu iyileştirmek için şut saatinin kaldırılmasını öneriyor. Duruş, uzun basketbol oyuncusuna karşı, çünkü şut saatini oyunun çekiciliğinin azalmasıyla ilişkilendiriyorlar. Yazar, basketbolda şut saatine karşı, oyunu daha az çekici ve tekrarlayıcı hale getirdiğini belirtiyor. Oyunu iyileştirmek için kaldırılmasını öneriyorlar. Duruş, basketbolda şut saatine karşı. Yazar, basketbolda şut saatine karşı, oyunu daha az çekici ve tekrarlayıcı hale getirdiğini belirtiyor. Oyunu iyileştirmek için kaldırılmasını öneriyorlar. Duruş, basketbolda şut saatine karşı. Yazar, basketbolda şut saatine karşı, oyunu daha az çekici ve tekrarlayıcı hale getirdiğini belirtiyor. Oyunu iyileştirmek için kaldırılmasını öneriyorlar. Duruş, basketbolda şut saatine karşı. Yazar, basketbolda şut saatine karşı çıkıyor ve bunun oyunu daha az çekici ve tekrarlayıcı hale getirdiğini söylüyor. Oyunu iyileştirmek için bunu kaldırmayı öneriyorlar. Duruş, basketbolda şut saatine karşı. Yazar, basketbolda şut saatine karşı çıkıyor ve bunun oyunu daha az çekici ve tekrarlayıcı hale getirdiğini söylüyor. Oyunu iyileştirmek için bunu kaldırmayı öneriyorlar. Duruş, basketbolda şut saatine karşı. Yazar, basketbolda şut saatine karşı çıkıyor ve bunun oyunu daha az çekici ve tekrarlayıcı hale getirdiğini söylüyor. Oyunu iyileştirmek için bunu kaldırmayı öneriyorlar. Duruş, basketbolda şut saatine karşı."
