Stance,Text
1,"@sco1905 Becali ve yine menajer kazigi bence. Cicaldau nedir ya ,6 m € bonservisse yilin kazigi. Bunu begenmeyip Emre Akbaba yi oynatirsa sen cumbusu izle o zaman.Son 3 yildir Besiktas la aramizda fark yaratan unsur adamlarin aldigi tek oyuncu kotu cikmadi.Valla kim buluyorsa helal olsun"
-1,Ülke uçuyor ekonomi iyi vs peki neden insanlar intihar ediyor o kadar vurdumduymaz mısınız. Yandaş TV ‘lerde haber değeri bile yok neden ??
-1,Austin Reed mağazalarını kapatıyor
1,@lakeoftears1907 Ha admin ona buna salliyon tamam eyvallah şu bazı kanallarda fenerbahceye saldiran sözde yorumculari ve fenerbahçe sıke yapıyor diyenlere de saldırsana taraftarı böldünüz 'la vallaha helal olsun her kez kendi kafasinda bi birleşin la bu ney
-1,Lufthansa pilotları grevi uzattı
-1,Ev fiyatları ateş pahası
1,Şekersiz beslenmenin faydaları
-1,Turizmde iptaller yüzde 40’a ulaştı
-1,"Borsa düşüyor, dolar yükseliyor"
-1,Ekonomik gücün yükselmesi obeziteyi artırıyor
-1,apartman yöneticileri sizin yaptığınız hataları yapmaz be geri zekalılar... #Grosskreutz @GalatasaraySK
-1,Riskli işlere mesai ayarı!
-1,@Trabzonspor Afferin size helal olsun çok iyi oynadınız başkan ne zaman Tv çıksa konuşmaya başlasa takım oynamıyor akşam için izin 10 maç var ne düşünüyorsunuz diye soran Gültekin e hiç bişey diyemiyorum diyor bu nasıl başkan
-1,Sayın Sağlık Bakanı #FahrettinKoca 21 Kasım 2020 tarihinden bu yana #aşı temini ve uygulamasını defalarca erteledi. Son kertede #Haziran2021 sonuna öteledi!
1,"Türkiye bölgeye ne model ne de tehdit olmalıdır. Türkiye'nin bölge ile maksimum ilişki düzeyi siyasal olarak arabuluculuk, sektör olarak ise ekonomi boyutunda olmalıdır."
1,Kemik erimesine iyi gelen yiyecekler
-1,Niye bütün arkadaşlarım fenevli ya. Maç günleri yalnızları oynuyorum.
-1,Sigara fiyatları zamlandı
1,"Salı günü Bıdık'ın kısırlaştırma ve göz amputasyon operasyonu var, 1600 TL olan ameliyat ücretinin yarısını karşılayabiliyoruz fakat diğer yarısı için desteğe ihtiyacımız var"
-1,"23 Nisan Yasak,1 Mayıs Yasak, Akşam 19:00 Sonrası dışarı çıkmak yasak,Vatandaşa İftar Yasak Akp Siirt Milletvekili Osman Ören'e Toplu İftar Serbest. Eşitliğe Aykırı Davranmaktan Vazgeçin Artık ‼ #mecburen katlanıyoruz..."
-1,Chp iktidarı demek Grup Yorum zihniyetinin iktidar olması demek. Chp iktidarı demek Garo Paylan zihniyetinin iktidar olması demek. Chp'li belediyelerden gelen içi para dolu çantalara ülkesini satan ipsiz sapsız saadetsizlere duyrulur.
-1,Tüketiciler sınırlı taksite sıcak bakmadı!
-1,"@TuranOrdusu23__ Fenerbahçe şikeci diyen samanyolu haber tv spor yorumcusu Ekrem İmamoğlu ile fond.A.Ş. gs li Ruşen yanyana. Fetö ye laf edip , kanalında Fener e şikeci diyen adama sözüm ona fanatikler Erdoğan kaybetsin diye oy verdiler bu adama."
1,Zamanında müdahale felç ten kurtarabilir
-1,Yüksek kolesterol kalp hastalığı riskini artırıyor
-1,@locksmithcrypto @TeknikciHoca @MevlutCavusoglu @TC_Disisleri Dışişler bakanı kim ?
-1,"Tescilli sikeci, Fenerbahce nin karisi ve taseronu Besiktas- Fenerbahce iliskisi uzerine -yaptiklari sikeler uzerine gidilmeli"
-1,@Trabzonspor Sikeci damatspor aciklama yapiyor lan kosun.  Amk un hamsi beyinlileri...
-1,Günümüzde bir salak @GalatasaraySK bir transferi bile beceremiyor. Fifahahahahahaa
-1,Dursun özbek umut bulutuda al git hiç bu kadar nefret etmemiştim cimbomlu oldugumdan
-1,Stres kaşları döküyor
-1,Bugün ilk defa çöpten bir adamın elbise çıkardığını gördüm. Ekonomi hiç olmadığı kadar kötü!
-1,Kötü çalışma koşulları akıl sağlığını tehdit ediyor
-1,Tofaş ve Bosch bugün üretimini durduruyor
1,Enerji Bakanlığı'ndan doğalgazda indirim açıklaması
1,"Türkiye İstatistik Kurumu'nun (TÜİK) açıkladığı son verilere göre, Türkiye genelinde işsiz sayısı 2021 yılı Mart ayında bir önceki aya göre 59 bin kişi artarak 4 milyon 236 bin kişi oldu. İşsizlik oranı ise 0,1 puanlık azalış ile yüzde 13,1 seviyesine indi. Açıklanan istihdam oranlarını değerlendiren Kahveci, şunları söyledi: 757 binlik bir istihdam artışlı gözüküyor. Geçen yıl bu sayı 1 milyon 19 bin eksiydi. Çünkü pandemiden dolayı kapanmıştı. Bir önceki yıl, 792 bin; İstihdam 804 bin oranında artmış.. 757 binlik bir artış büyük bir rakam değil! Önemli başka noktalar var: Bu verinin alt detayında işte tarımda 209 bin kişi istihdam artmış... Ocak ayında tarımda çalışan sayısı çok fazla artmıştı aralık ayına göre. 4 milyon 125 binden 4 milyon 698 bine çıkmıştı. İlginç, yani hiç böyle bir rakam gözükmemişti. Bu yıl Ocak ayında milletin birden tarlaya gidesi tutmuş! Bir diğer konu 83 bin kadın işini kaybediyor; 494 bin erkek iş buluyor... 494 binden 83 bin çıkarınca da 411 bin toplam istihdam sağlanmış oluyor. Fakat 83 bin kadının işini kaybedip 494 bin erkeğin iş bulması ilginç... İlginçten bir başka nokta daha sanayi istihdamı; Bu istihdam doğru ise bu Türkiye adına çok önemli, olumlu bir gelişme... Sanayide istihdamın artması, sanayide çalışan sayısının artması ve bu toplam istihdamdaki payının da artması önemli bir gelişme."
-1,Zaten dursun özBEK o oynar sag bekte.. #yönetim #istifa @GalatasaraySK
-1,@mt_goksu anlık chp liler : dovloto kom yonotoyor onlor açson önünü
-1,"@orhanctlbas52 Bunu, Bursasporun altına yatıp, Rizeyi küme düşüren şikeci Trabzonspor takiminin hamsi beyinli taraftarının söylemeside komik olmuş. 😂😂😂"
-1,"2-6 yaş arası sünnet, çocuğunuzun psikolojisini bozabilir"
-1,"Sigara kadın ömrünü 23 yıl, erkek ömrünü 28 yıl kısaltıyor"
-1,@itsmetigris @gizemaksux Yanlışlıkla covid negatif çıkmasaydın eğer raporlu gösterirdik seni jsksjlsl yazzzık olmuş
-1,İlaç parası çalınan 1.5 yaşındaki Menesa hayatını kaybetti
1,@fatzeh06 Mansur yavaş 😍❤️
-1,Nefes darlığı kalbin habercisi
-1,"@AgnusDei61 1 TS, 2 şikeci ,3 btaş, 4 Gs"
-1,Yemin ediyorum dursun özbek ve saz ekibi bütün Galatasaraylılarla dalga geçiyor
-1,@ZekiUzundurukan Birazda bu adamı konuşun uefa lisans veriyor şikeci TFF içindeki GALATASARAY düşmanları lisans vermiyor sonrada yerli oyuncunun önünü acın yerin dibine bat TFF @TFF_Org  https://t.co/GYUnQ5LNxQ
-1,"Sezaryen, otizm riskini artırabilir"
-1,Anne adayları gereksiz test yaptırmayın!
-1,@resullok @GalatasaraySK sabri ölmeden almazlar
-1,Yaklasik 1.5 aydir Galatasarayda öncelik stoper sagbek ve forvet yakin zamanda takviyeler yapilacak haberleri okuyorum yeter aq alin artik
1,#instagram #fenerbahçe #yandex #destekol #hepdestektamdestek #1907 @ Eyup Topcular https://instagram.com/p/6iD7b5Dfpg/
-1,Germanwings pilotları greve gidiyor
-1,@siilaben @dylmcc Fener şikeci bence Galatasaray
-1,Avrasya Yatırım ekonomisti Evren Devrim ZELYUT Yeniçağ Gazetesi'ndeki köşesinde cari açıktaki risklere dikkat çekti.
-1,Çeyrek altın geriledi
-1,"PKK/HDP Kürtleri İslâmsızlaştırma projesinin adıdır. Bakmayın siz PKK/HDP saflarında sarıklı, sakallı ve başörtülü tiplerin var olmasına. PKK/HDP için dindarlar, amaçlarına ulaşmak için kullandıkları bir araçtan ibarettirler..."
-1,Yorgunken spor yapmak sakatlanma riskini artırıyor
-1,@sidkizilan Zülme uğrayan kim varsa HDP nin etrafında toplanmalı. Ezilenlerin ve bütün garibanların partisi.
-1,Ulkemizin anasını siktiler Arap sevici köpekler hayat pahalılığı bir yandan talan ettikleri bir yandan yandaşlarinı ihya etmeleri bir yandan bu mubarek gecenin hatrına Rabbim sizi KAHHAR ismi ile Kahrı perişan eylesin kimki Devlet malını peşkeş çekiyorsa.
-1,Susar mısın gerizekalı Galatasaray'lılar ağlıyor şuan.
-1,@SoruSorarim Şikeci fener 2010-2011 şampiyonu TRABZONSPOR
1,Mansur Yavaş'ın “6 Milyon Tek Yürek” kampanyasına rekor destek@
-1,@Trabzonspor Kaça sattınız maçı?  Asıl şikeci sizsiniz hamsi kafalılar
-1,@guneskumsal85 @aDilipak Bırakın artık korku pompalamayı millette bir yıldır ne ekonomi ne de psikoloji kalmadı. Sağlık diye diye sağlık bırakmadınız.
-1,"babalar gibi satarken ( özelleştirmelerin zirve yaptığı dönem) ve tekel eylemleri olurken: ekonomiden sorumlu devlet bakanı ydı, yerde madenci tekmelenirken: sessiz kalan malum parti miletvekili 'ydi, ergenekon-balyoz soruşturmalarında: dış işleri bakanı'ydı, çözüm sürecinde: dönem içerisinde dış işleri bakanlığı ve baş müzakerecilik yaptı.. benim aklımda kalanlar bunlar.. bu olaylara herhangi bir tepkisi yok. hep sustu , ekonomi konusunda bir ya da 2 kez cılız (isimsiz) bir şekilde yürütmenin başına ses çıkardı.. bu kadar. şimdi eğer ekonomiyi tek başına ""sırtlayacak gücü"" varsa neden bunlara ses çıkarmadı? gücü mü yetmedi?? bilerek mi sustu?? yok zaten bu kadar güçlü değildiyse de şimdiki ""çakası"" kime? dolayısıyla aynı yolun yolcusudur. bugünün mimarlarındandır.. siyasal islamcılardan oy alması ümit edilendir."
1,MS hastalarının yürüyüşünü düzelten ilaç
-1,"Yardım toplamak için valilikten izin alınması gerekti bilerek almadan yardım topladın sonra bastın bağırdın yardım toplamamız engelleniyor diye , şimdi aynısı halk ekmekte yaptın çok tehlikeli adamsın sen sülün Ekrem @ekrem_imamoglu"
-1,Piyasalarda kara cuma: Avrupa ve Asya borsaları sert düştü
-1,Haydi fener'liler Beşiktaş'lılar kuralar çekildimi atkılarınızı hazırlayın ![😂](https://abs-0.twimg.com/emoji/v2/svg/1f602.svg) ![😂](https://abs-0.twimg.com/emoji/v2/svg/1f602.svg)
1,@yekvucutcom @hilal_kaplan ve chp grup yorumu destekliyor.
1,19:07 Hayatımız Fenerbahçe ![😍](https://abs-0.twimg.com/emoji/v2/svg/1f60d.svg)
1,Galatasarayın maçı olduğu için mi zaman geçmiyor
1,@SMinsolmaz Sayın vekilim @SMinsolmaz atama bekleyen öğretmenlerin bu yılki mağduriyeti çok daha büyük EĞİTİMDEN TASARRUF OLMAZ birçok vekilimzle değerli büyüğümüzle görüştük talebimizi dile getirdik sayın CBye ileteceği konusunda söz aldık. Sizde sesimiz olur musunuz? @SMinsolmaz @Akparti
-1,"İthalat değil ihracat olacaktı Neyse, görüyoruz ki çevre kirliliğinden dolayı insanlarımızın salgın hastalıkları bitmiyor."
-1,Bu heycan ne demek anlayamassiniz @fenerbahce @besiktas #KuraHeyecanıBets10da
1,"Meclisteki vekillerin 2.825,90 lirayla geçinmeleri sağlandıktan sonra hayatın pahalılığına veya maaşların iyileştirilmesine çözüm bulması beklenebilir. Ya değilse gayet insani bir duyarlılıkla! asgari ücretliye zekat verin çağrısı yapılır."
1,@cimbomunzlatani @erincbilican Aldıysa da helali hoş mu olsun? Galatasaray kişilerin çiftliği oldu da haberim mi yok? Ne demek helal olsun. Bu nasıl bi izan? Hoca zaten 3m € kazanıyor kimsenin gıkı çıkmıyor bunca başarısızlıktan sonra bir de damadı tarafından komisyon kovalayacaksa vay halimize ya!
-1,Bu yanlışlar yakıyor!
-1,Özel sektör dış borcundaki artış sürüyor
-1,Soros'tan felaket senaryosu
1,@yagosabuncuoglu Burak Elmasın dünya s*kinde değil. Bu adam cengizi çok aratacak bize vallahi. Yine bi transfer yarışı kepazelikle bitti. Helal olsun. GALATASARAY markasını iyice bitirdiler
-1,Commerzbank 9 bin kişiyi işten çıkarabilir
-1,@GalatasaraySK 4 yıldızlı Galatasaray ın sadece adı kalmış yazık 👎👎👎
-1,"@zeki922 @RTErdogan @meral_aksener @mehmedmus @abdulhamitgul @Akif_Hamzacebi @yilmaztunc Ülkedeki istihdamın %49 u, bu küçük esnaf tarafından karşılanıyor. Bu küçük esnafın da % 52 si icralık ve çek borçlusu. Ülkedeki işsizliğin Net%25 sebebi, Sizin Esnafı mahkum ettiğiniz YasalarınıZ. Yani, Mehmet Cengiz in 475 milyon vergi borcunu silerek Ekonomi düzelmiyor"
-1,Mangal'da pişirilen ette kanser tehlikesi!
-1,Dünya Sağlık Örgütü: Dünya'da 33 ülkede Zika virüsü var
-1,"Sizin kongreleriniz yüzünden bu hale geldik, beceriksiz siyasetiniz yüzünden ekonomi battı, alkol kullanmıyorum ama siyasal islam kafanızın Allah belasını versin.Gençliğimiz bitti sayenizde ülke bitti yeter artık #alkolümedokunma"
1,"Bu sabah: Mansur Yavaş kapatılan sektörlerden 17.532 kişiye 400'er TL'den toplam 6.970.980,00 TL nakit yardımı yaptı."
1,SGK yurtdışından bazı ilaçları ödeme kararı aldı
-1,"din düşmanlığı yapmıyoruz, kayıp 128 milyar dolar varken, işsizlik ve hat safhada kriz varken kudüs ten değil evimizdeki problemlerden konuşalım diyoruz. bizleri salak yerine koymayın diyoruz. - abi kriz var ! kudüs e uzanan ellet kırılsın !! - tamam da borçlarımı ödeyemiyorum !! kudüs !! - paramız kalmadı diyorum , 128 milyarımız çalınmış diyorum !! kudüste yaşayanların yanındayız.. - arkadaş karnım aç, kudüs ü değil problemleri konuşalım vay din düşmanı !! işte tam olarak bu yaşanıyor.. çünkü verebilecek hiç cevapları yok .. burada bütün yazdıkları akp yi savunan entrylerini silecek çok canlı var.."
-1,@CJohdude @jahreindota Bana cahil diyen biri oturup 2 dakika ekonomi konuşamaz büyük ihtimal. Ağzına doladığın belirli bir kaç kelime var liboş da onlardan biri. Büyük ihtimal liberalliğin tam olarak ne olduğunu bile bilmiyorsun.
-1,@BordoMaviF_61 @tcbestepe kısaca demokrasi ve hukuk ekonomi birlikte ilerler ve bu konuda umut hissedildiğinde ekonomi hızla toparlar ama artık bunu erdoğan yapamaz bir nebze güveni geri kazanmakta idi 2 ay önce ama sonraki yaptığı hamleler ona artık ekonomik olarak akp yandaşı zenginler bile inanmaz
-1,Sigara göz sağlığınızı bozabilir
-1,Panik atak belirtileri
1,@aslhancolak Allah sizden razı olsun kardeşim. Sahillerimizde sizi görmek bizi hem mutlu hemde güvende hissettiriyor. Size o muameleyi yapan vatandaşı Allaha havale etmek en doğrusu.. Hakkınızı helal edin.
-1,Wells Fargo CEO'suna büyük ceza
-1,Benzin ve motorine zam geldi
-1,Dolarda korkulan oldu!
-1,Dünyada 2 milyar çocuk zehirli hava soluyor
1,Ben galatasaraylıyım
-1,"Sivas'a mayıs'da hamsi gönderen, Buca maçında ayağı kayan futbolcuyu transfer eden baş şikeci sizsiniz. Bari bir kez dik durun @Trabzonspor"
-1,Türkiye'de konut yatırımı yapan yabancılar zarar edebilir
-1,Airline Swiss İstanbul uçuşlarını durduruyor
1,Balık fiyatlarına kar zammı
1,"Sağlık Bakanı Fahrettin Koca, Türkiye İlaç ve Tıbbi Cihaz Kurumu'nun Sputnik V aşısının acil kullanımına onay verdiğini açıkladı. Rusların geliştirdiği Sputnik V aşısının üretimi de Türkiye'de yapılacak."
-1,@ayyildirim1 Peki Türkiye tamam can verelim de MHP yi akp işgal altına aldı buna göz yumanlara ne diyorsunuz şu teslimiyetçi zihniyetten kurtulmanın yolunu bulalım
-1,Bu yıl kaptanları göndermek hoşunuza gitti galiba? Önce Emre şimdi Emir.... :(((( @Fenerbahce
-1,@Fenerbahce Bu takım ne yapmaya çalışıyor. Anlayan varmı...???👎👎
-1,"@SemihaEkinci58 @TBMMGenelKurulu biden açıklamasına destek veren hdp ye ses çıkarmayan chp ve iyi parti, 10 bin km ötedeki abd ye kükreriz diyor,ittifak bozulur diye ses çıkarmayanlar,Biden kınama lari da göstermelik olduğu aleni sırıtıyor. Ülkemde bir tane ermeni toplu mezarı gören varmı, HAYIR"
-1,@DrstAdam7 @Trabzonspor Şikeci hamsi ağlama
-1,@kartalkarakayaa @ezelreyiz @celalormnc @Kaplanbahtiyr @futbolarena Gene beşiktaş x 30= Galatasaray  Beşiktaş bu kadar kçük ve şikeci işte
-1,Şu virüsle alkolün ilişkisini bir türlü anlayamadım. Ama alkolle ramazanın ve alkolle hükümetin ilişkisini virüse bağlanmasını yasağa bağlamasını anlayabiliriz. Sinekten yağ çıkarmak gibi. Anayasaya ve kişilik haklarına tacizdir bu.
-1,"Vücudun susuz kalması, beyin kanaması riskini artırıyor"
-1,"Galatasaray yönetimi düzenli bir şekilde Vasat yalı çocuğunun, karılığını yapan Anadolu külüplerine ve küçük şikeci beşiktaş'a karşı tavrını net göstermelidir. Bu karılara iç saha maçlarında çay, çorba ikram edip iyi davranmak olmaz. Hak ettikleri muameleyi görmeliler."
1,@skorermilliyet Valla helal olsun !!! Nasılda rezilliği örtüyorsunuz !!!! Eğer Fenerbahçe veya Beşiktaş olsaydı 5 yiyen ne haberler yapılırdı !! Bu kadar mı korkuyorsunuz terimden ??
-1,@sprinterkanat @valentinrosiier @Kys_Galata @demarkesports Doğru söylüyor. Galatasarayda luyindama diye bir futbolcu var 2-0 kazandığımız maçta gol atmamıza yardımcı oldu ve sahada yürüdü ihbar ediyorum Galatasaray şikeci takımdır
-1,@bir_sevdadirbjk @hasnyaman @ibrahimkurtar_ @mellisJk3 UEFA’nın sitesine gir bakalım Galatasaray’ın başarılarını incele ondan sonra kendi takımına bak CAS onaylı tescilli şikeci gözüküyorsunuz
-1,"Sağlık Bakanı Fahrettin Koca , yeni tip koronavirüs (Kovid-19) salgınıyla mücadele kapsamında 17 günlük tam kapanmaya gidildiğini belirterek, sürecin sonunda vaka sayılarının çok azaldığı ""gerçek bir bayramı"" yaşamak istediklerini bildirdi. Koca , İl Değerlendirme Toplantısı'na katılmak için geldiği Antalya'da ilk olarak Vali Ersin Yazıcı'yı ziyaret etti. Ziyaret sonrası gazetecilere açıklamalarda bulunan Koca , Antalya'da yapacakları çalışmada hem yerinde incelemede bulunacaklarını, hem de mesai arkadaşlarıyla civar illeri değerlendireceklerini dile getirdi. Toplantının benzerlerini gelecek günlerde başka bölgelerde, illerde de yapacaklarına değinen Koca , Antalya'daki çalışmalara Vali Ersin Yazıcı ile görüşerek ve genel bir durum değerlendirmesi yaparak başladıklarını kaydetti. Antalya'da son bir haftada vaka sayısında yüzde 35 oranında azalma görüldüğüne işaret eden Koca , ""Yatak doluluk oranımız yüzde 47,7, yoğun bakım doluluk oranımız ise yüzde 66,3'e düşmüş oldu. Son hafta hastane yükümüzün azalmaya başladığını görüyoruz."" dedi. BAYRAMI BAYRAM GİBİ YAŞAMAK İSTİYORUZ ""İki haftadır uygulanan tedbirlerin, vaka sayısında istediğimiz düşüş hızını sağlayamaması sebebiyle, 17 günlük kapanma dönemiyle vaka sayılarında hızlı düşüşü sağlayacağımıza inanıyorum. Bu konuda tüm vatandaşların desteğini vurgulamak istiyorum."" diyen Koca , ""Bu sürecin sonunda vaka sayılarının çok azaldığı gerçek bir bayramı yaşamak istiyoruz. Bayramı bayram gibi yaşamak istiyoruz. Salgınla mücadelede bildiğiniz gibi filyasyonun önemi büyük. Bu sistemi dünyada etkin şekilde uygulayabilen nadir ülkelerden biriyiz. Filyasyon ekiplerimiz hem temaslıları belirleyip izole etmek hem vatandaşlarımıza ilaçlarını ulaştırmak için canla başla mücadele ediyor."" Kaynak : AA"
1,mentlere bak abi Muslera olsam alayınızın amk hakkım haram olsun der giderdim adam bize hakkını helal etmese Galatasaray'ı aklından geçiren herkes cehennemlik olur hala ne konuşuyorlar
-1,"Taraftarı bu kafaya soktunuz- @Besiktas  Artık ne desek boş, şimdi gidip kibar kibar kendinizi eğlendirin-HAYAL KIRIKLIĞISINIZ-HEPİNİZ...YAZIKLAR OLSUN👎 @kocadagemre @adnandalgakiran @MesutURGANCILAR Kendi muhabirlerinize kendinizi övdürün ama HAKKIMIZ HELAL DEĞİL @KaynarErol"
1,"📌1-Sırbistan’da Hükümetten Kobilere 2 Milyar Dinar(yaklaşık 17 Milyon €) Hibe Sırbistan Ekonomi Bakanı Andjelka Atanaskoviç Cuma günü yaptığı açıklamada, hükümet tarafından küçük ve orta ölçekli şirketlere destek olarak toplam iki milyar Dinar hibe ayrıldığını söyledi."
-1,Macaristan'da 14 banka küçülmeye gidecek
1,Milliyetçi Hareket Partisi Hatay Milletvekili sayın Lütfi Kaşıkçı’ya teşekkür ederim.
1,"Desteğinin bir an önce başlamasını umut ediyoruz dedi. MTSO Başkanı Oğuzhan Ata Sadıkoğlu, işgücü maliyetlerinin aşağıya çekilmesi amacıyla 2016 yılında başlayıp 2020 yılının sonuna kadar devam eden asgari ücret desteğinin 2021 yılında da devamı konusunda belirsizliğin olduğunu söyledi. 2021 yılında da devam edeceği açıklanmıştı 28 Aralık 2020 tarihinde 2021 yılı asgari ücretinin açıklandığı basın toplantısında 2021 yılında da asgari ücret desteğinin çalışan sayısı ayırımı yapılmaksızın tüm işyerleri için aylık 75 TL olarak devam edeceğinin açıkladığını hatırlatan Başkan Sadıkoğlu, Bir yılı aşkındır devam eden salgının işletmeler üzerinde oluşturduğu olumsuz etkiler dikkate alındığında, asgari ücret desteği tüm işletmeler için önem arz etmektedir. Geçmiş yıllardaki asgari ücret destekleri ile ilgili yasal düzenlemelere baktığımızda en geç Mart ayı içinde yasalaşmış olduğunu görüyoruz. 2021 yılı asgari ücreti ocak ayından itibaren yürürlüğe girmiş olmasına ve aradan 4 aydan fazla zaman geçmesine rağmen, 2021 yılı asgari ücret desteği ile ilgili yasal düzenleme yapılmamış olması işverenlerimiz açısından belirsizliğe neden olmaktadır. Sigorta primi teşvikinin ve asgari ücret desteğinin istihdamın korunması ve işsizliğin azaltılması konusunda ne denli önemli olduğunu bir kez daha belirmek isterim. İşverenlerimizi biraz olsun rahatlatacak olan 2021 yılı asgari ücret desteğinin bir an önce başlamasını umut ediyoruz dedi."
1,@bulentuslu1903 Helal olsun sana.yemin ediyorum Beşiktaş'ın hakkını savunmakla yetinmeyip rakip takımların yediği boklarıda ortaya çıkarıyorsun
-1,"Devlet, iktidarları ve onun siyasetçileri utansın. Halk vergileri müteahhitler yesin diye vermiyor..."
-1,Çocukları aşırı serbest bırakmanın zararları
-1,Benzin ve motorin fiyatı 8 kuruş arttı
-1,"@Trabzonspor 2010-2011 şampiyonu FENERBAHÇEDİR. şikeci hamsi kafalılar, tek misyonunuz bu dimi, fener maçlarında içinizden geçiyor evinizde adiler."
